order_id,product_id,quantity,price
45,72,1,163.26
45,57,2,90.14
45,12,2,1673.26
46,14,1,892.29
46,28,1,619.68
47,33,3,140.58
47,42,2,382.52
47,78,1,240.46
48,67,2,657.84
48,40,1,1116.09
48,9,2,222.56
49,15,2,745.67
49,3,1,1108.26
49,29,2,1471.56
50,77,2,695.25
50,5,2,656.42
50,32,2,1780.06
51,43,1,1069.33
51,8,2,99.57
51,70,2,662.99
51,76,1,1819.75
52,75,1,615.02
52,19,2,1617.16
53,14,1,264.6
53,91,2,882.86
53,50,1,483.11
54,9,2,759.08
54,30,2,1926.77
54,97,1,605.44
55,3,1,332.55
55,58,2,1972.02
56,76,1,1283.0
56,20,1,1678.84
56,72,2,413.71
57,66,1,1308.09
57,1,1,1876.62
57,46,2,715.08
58,64,2,1082.82
58,82,2,711.11
59,31,2,214.07
59,71,2,1802.18
59,91,2,1399.2
60,63,1,684.53
61,74,1,767.05
61,63,2,525.78
61,86,2,1280.72
62,79,1,1458.78
62,45,1,97.42
63,97,2,1833.99
64,100,2,624.18
64,99,1,380.51
65,52,2,1980.61
65,96,1,1060.74
65,68,2,1419.84
66,33,2,1606.68
66,27,3,1418.84
66,81,1,782.39
66,88,2,1177.65
67,50,1,109.48
67,26,1,297.77
68,48,2,1104.24
68,77,1,1465.88
68,18,1,1600.61
68,59,2,905.99
69,13,2,1120.99
69,12,1,1911.99
70,73,1,1527.8
70,51,1,276.34
70,58,1,240.78
71,44,2,138.34
71,43,2,1270.43
71,13,2,367.72
71,40,2,1302.72
72,97,1,943.59
72,54,1,1924.32
72,36,2,431.79
73,28,2,1638.21
73,85,2,1276.44
74,89,1,1513.7
74,73,1,1981.49
75,77,1,1864.98
76,74,2,1809.98
76,75,1,1796.27
77,36,2,1903.68
77,1,1,1282.08
77,92,1,1361.41
78,75,1,1121.58
79,40,2,247.19
79,90,2,1416.89
80,6,2,772.75
80,102,1,212.83
81,77,1,963.89
81,52,1,281.69
81,40,2,1187.57
81,93,2,781.0
82,19,1,134.16
82,99,2,193.9
82,1,2,1940.14
83,68,2,597.88
83,42,1,1259.26
83,60,2,416.84
83,55,2,201.58
83,92,1,1973.11
84,28,2,1826.31
84,82,1,1868.82
84,67,2,138.18
85,81,1,1208.55
85,102,1,858.9
86,24,2,1549.53
86,3,2,1706.81
86,88,1,1910.4
86,82,1,495.85
87,32,2,1064.32
87,8,3,1759.47
87,65,2,311.33
87,47,2,1422.96
88,17,1,1813.11
88,10,1,1052.28
88,1,2,1731.61
88,32,1,336.79
89,23,2,1010.61
89,42,1,197.93
90,10,1,724.05
90,9,2,974.23
90,12,1,129.69
91,12,1,760.33
91,25,1,1396.27
92,89,2,589.91
92,94,1,458.23
93,34,2,121.53
93,43,1,1441.03
93,59,3,258.99
94,41,1,283.54
94,49,1,1207.51
94,21,1,219.49
94,24,2,1194.34
95,9,2,1309.54
95,26,1,248.48
96,12,2,850.27
96,21,1,268.48
96,17,1,383.23
97,65,2,414.74
97,95,1,879.6
97,52,1,1240.71
98,26,3,151.06
98,55,1,312.11
99,22,1,853.09
99,66,2,403.4
99,75,2,1495.19
99,56,1,1600.77
100,16,1,1760.54
100,12,2,1642.37
100,83,1,637.69
101,74,2,798.59
102,50,1,321.58
102,93,2,1259.14
103,79,2,1500.7
103,12,2,1759.69
103,28,2,1651.45
104,80,1,1458.39
104,12,2,1108.31
105,22,1,1897.2
105,31,1,1193.15
105,14,1,1750.64
105,93,2,1152.01
106,69,2,877.05
106,12,1,1970.44
106,54,1,293.09
107,37,2,826.43
107,3,1,726.56
107,30,2,931.82
107,80,1,393.95
107,1,1,866.9
108,54,2,1343.9
108,60,1,1993.9
109,45,1,1801.21
109,56,2,421.84
110,53,1,933.91
